ProductID,ProductName,Category,SubCategory,Brand,UnitCost,UnitPrice,LaunchDate
PRD050,Pulse Laptops 50,Laptops,Budget,Volt,473.5,724.19,2023-12-12
PRD051,Pulse Audio 51,Audio,Premium,Volt,332.85,780.0,2023-07-17
PRD052,Orbit Accessories 52,Accessories,Premium,Nexus,220.11,320.74,2021-12-06
PRD053,Orbit Audio 53,Audio,Premium,Volt,170.62,292.68,2025-02-10
PRD054,Orbit Wearables 54,Wearables,Budget,Aero,207.45,494.07,2023-11-05
PRD055,Aero Gaming 55,Gaming,Standard,Pulse,56.27,102.05,2025-04-14
PRD056,Nexus Accessories 56,Accessories,Budget,Aero,316.77,466.46,2022-05-24
PRD057,Orbit Audio 57,Audio,Budget,Volt,491.53,976.46,2025-01-27
PRD058,Orbit Accessories 58,Accessories,Premium,Volt,106.3,192.13,2024-10-22
PRD059,Pulse Accessories 59,Accessories,Premium,Volt,202.61,317.39,2022-05-21
PRD060,Aero Accessories 60,Accessories,Premium,Aero,30.05,60.91,2022-01-05
PRD061,Pulse Audio 61,Audio,Budget,Pulse,307.83,493.8,2023-06-23
PRD062,Aero Accessories 62,Accessories,Premium,Volt,366.62,729.48,2025-04-05
PRD063,Nexus Audio 63,Audio,Standard,Pulse,65.14,84.8,2022-03-21
PRD064,Pulse Smartphones 64,Smartphones,Standard,Aero,32.45,67.95,2021-10-11
PRD065,Orbit Audio 65,Audio,Premium,Orbit,151.95,284.37,2022-08-07
PRD066,Nexus Accessories 66,Accessories,Budget,Nexus,437.06,726.44,2024-01-22
PRD067,Nexus Wearables 67,Wearables,Standard,Pulse,262.19,540.29,2024-10-04
PRD068,Nexus Accessories 68,Accessories,Premium,Pulse,129.79,217.04,2025-03-04
PRD069,Nexus Smartphones 69,Smartphones,Premium,Orbit,54.32,102.38,2022-02-06
PRD070,Pulse Laptops 70,Laptops,Standard,Volt,30.37,39.57,2026-05-10
PRD071,Nexus Smartphones 71,Smartphones,Standard,Volt,472.42,908.38,2024-11-25
PRD072,Orbit Accessories 72,Accessories,Budget,Nexus,105.9,178.59,2026-05-17
PRD073,Nexus Accessories 73,Accessories,Premium,Volt,365.97,770.12,2021-11-30
PRD074,Nexus Laptops 74,Laptops,Budget,Aero,77.46,117.74,2025-05-18
PRD075,Pulse Smartphones 75,Smartphones,Budget,Aero,318.95,428.45,2024-12-27
PRD076,Aero Gaming 76,Gaming,Premium,Orbit,253.19,470.62,2023-10-11
PRD077,Pulse Wearables 77,Wearables,Premium,Pulse,39.92,78.61,2025-09-30
PRD078,Aero Gaming 78,Gaming,Standard,Orbit,263.07,407.21,2021-10-19
PRD079,Nexus Audio 79,Audio,Budget,Aero,141.42,270.44,2022-07-24
PRD080,Nexus Laptops 80,Laptops,Budget,Nexus,375.58,701.86,2025-10-18
PRD081,Orbit Audio 81,Audio,Budget,Nexus,83.88,187.34,2024-08-11
PRD082,Pulse Laptops 82,Laptops,Standard,Volt,265.3,562.19,2025-10-23
PRD083,Pulse Gaming 83,Gaming,Premium,Pulse,316.59,549.82,2022-08-24
PRD084,Aero Gaming 84,Gaming,Budget,Nexus,288.93,546.69,2023-09-15
PRD085,Orbit Laptops 85,Laptops,Premium,Orbit,418.22,782.72,2025-11-09
PRD086,Pulse Audio 86,Audio,Standard,Volt,392.86,822.35,2021-10-05
PRD087,Pulse Gaming 87,Gaming,Premium,Pulse,379.37,821.46,2023-04-28
PRD088,Orbit Audio 88,Audio,Standard,Orbit,271.36,438.26,2024-08-03
PRD089,Aero Smartphones 89,Smartphones,Budget,Aero,82.99,160.52,2023-08-07
PRD090,Orbit Gaming 90,Gaming,Standard,Orbit,284.98,488.25,2024-07-16
PRD091,Aero Gaming 91,Gaming,Premium,Orbit,224.07,407.33,2025-09-13
PRD092,Pulse Smartphones 92,Smartphones,Budget,Pulse,222.93,446.91,2023-07-28
PRD093,Pulse Smartphones 93,Smartphones,Standard,Aero,257.37,518.06,2024-12-20
PRD094,Orbit Gaming 94,Gaming,Standard,Nexus,496.38,980.96,2022-11-02
PRD095,Orbit Gaming 95,Gaming,Standard,Volt,258.38,360.31,2025-02-10
PRD096,Pulse Smartphones 96,Smartphones,Budget,Volt,467.9,791.98,2026-06-04
PRD097,Aero Smartphones 97,Smartphones,Budget,Volt,289.59,541.3,2022-11-06
PRD098,Orbit Smartphones 98,Smartphones,Budget,Nexus,245.72,391.68,2024-12-27
PRD099,Pulse Gaming 99,Gaming,Premium,Pulse,198.74,265.63,2021-12-08
PRD100,Orbit Gaming 100,Gaming,Premium,Nexus,204.7,288.46,2024-01-14
PRD101,Nexus Gaming 101,Gaming,Budget,Pulse,163.01,368.61,2025-03-29
PRD102,Nexus Gaming 102,Gaming,Premium,Nexus,45.42,83.11,2023-03-11
PRD103,Nexus Accessories 103,Accessories,Premium,Orbit,101.27,203.4,2025-08-11
PRD104,Pulse Smartphones 104,Smartphones,Premium,Volt,305.34,540.85,2025-06-06
PRD105,Nexus Accessories 105,Accessories,Premium,Nexus,281.44,552.82,2024-06-15
PRD106,Nexus Audio 106,Audio,Premium,Pulse,431.32,710.45,2025-11-04
PRD107,Nexus Accessories 107,Accessories,Budget,Aero,231.8,373.57,2021-12-20
PRD108,Aero Wearables 108,Wearables,Premium,Volt,170.12,235.29,2024-10-28
PRD109,Orbit Gaming 109,Gaming,Budget,Orbit,421.62,935.96,2024-05-10
PRD110,Nexus Audio 110,Audio,Budget,Nexus,339.37,685.64,2022-08-10
PRD111,Nexus Laptops 111,Laptops,Premium,Volt,371.8,734.37,2022-07-14
PRD112,Pulse Wearables 112,Wearables,Standard,Orbit,457.33,816.46,2023-02-03
PRD113,Aero Accessories 113,Accessories,Premium,Orbit,481.36,668.56,2025-09-26
PRD114,Orbit Laptops 114,Laptops,Budget,Aero,357.41,661.15,2025-07-07
PRD115,Pulse Audio 115,Audio,Premium,Pulse,264.49,542.05,2023-08-13
PRD116,Orbit Accessories 116,Accessories,Premium,Nexus,278.84,380.56,2025-12-14
PRD117,Pulse Laptops 117,Laptops,Budget,Volt,32.54,48.73,2025-06-01
PRD118,Orbit Laptops 118,Laptops,Budget,Orbit,258.39,509.32,2023-01-26
PRD119,Nexus Wearables 119,Wearables,Budget,Orbit,458.76,931.83,2025-11-30
